Matrix1_Wert1,Matrix1_Wert2,Matrix1_Wert3,Matrix1_Wert4,Matrix1_Wert5,Matrix1_Wert6,Matrix1_Wert7,Matrix1_Wert8,Matrix1_Wert9,Matrix1_Wert10,Matrix1_Wert11,Matrix1_Wert12,Matrix1_Wert13,Matrix1_Wert14,Matrix1_Wert15,Matrix1_Wert16,Matrix1_Wert17,Matrix1_Wert18,Matrix1_Wert19,Matrix1_Wert20,Matrix1_Wert21,Matrix1_Wert22,Matrix1_Wert23,Matrix1_Wert24,Matrix1_Wert25,Matrix1_Wert26,Matrix1_Wert27,Matrix1_Wert28,Matrix1_Wert29,Matrix1_Wert30,Matrix1_Wert31,Matrix1_Wert32,Matrix1_Wert33,Matrix1_Wert34,Matrix1_Wert35,Matrix1_Wert36,Matrix1_Wert37,Matrix1_Wert38,Matrix1_Wert39,Matrix1_Wert40,Matrix1_Wert41,Matrix1_Wert42,Matrix1_Wert43,Matrix1_Wert44,Matrix1_Wert45,Matrix1_Wert46,Matrix1_Wert47,Matrix1_Wert48,Matrix1_Wert49,Matrix1_Wert50,Matrix1_Wert51,Matrix1_Wert52,Matrix1_Wert53,Matrix1_Wert54,Matrix1_Wert55,Matrix1_Wert56,Matrix1_Wert57,Matrix1_Wert58,Matrix1_Wert59,Matrix1_Wert60,Matrix1_Wert61,Matrix1_Wert62,Matrix1_Wert63,Matrix1_Wert64
400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,209,400,400,400,400,400,400,204,187,400,400,400,204,200,199,197,184,400,400,204,203,201,208,200,187,400,400,400,400,400,199,194,179,400,400,400,400,205,192,208,400,400,400,400,400,195,223,400,400
400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,263,254,400,400,400,400,287,271,231,237,400,400,278,272,271,258,226,230,400,400,274,285,274,260,227,239,400,400,400,272,268,280,261,400,400,400,400,273,400,400,400,400
400,400,400,400,400,400,346,360,400,400,400,400,400,400,400,400,400,400,255,400,400,400,400,400,400,400,243,236,252,400,400,400,400,400,400,240,236,242,249,400,400,244,235,238,238,222,200,211,400,400,400,242,210,189,202,212,400,400,400,235,204,194,194,232
400,400,400,400,400,316,311,305,400,400,400,400,400,400,335,313,400,400,216,217,400,400,400,400,400,400,240,206,215,400,400,400,240,218,248,215,206,231,259,400,400,221,208,214,212,209,212,400,400,400,228,208,209,202,186,198,400,400,400,187,170,163,167,179
400,400,400,400,400,400,400,400,400,400,195,191,190,198,211,215,400,400,220,197,193,191,191,186,400,400,400,211,203,198,192,165,400,400,197,194,190,192,190,150,400,400,229,223,400,400,169,158,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,234,235,236,235,226,400,400,400,251,239,242,235,201,400,400,400,246,238,235,232,187,400,400,400,246,251,400,211,200,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
400,172,163,171,199,400,400,400,400,179,192,205,205,400,400,400,400,214,199,212,206,400,400,400,400,228,204,221,204,400,400,400,400,216,211,234,208,400,400,400,400,221,218,400,220,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
400,400,273,268,260,271,400,400,400,400,261,254,255,283,400,400,400,400,263,267,288,400,400,400,400,400,294,288,289,400,400,400,400,400,289,312,297,306,400,400,400,400,307,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
400,147,147,166,171,178,400,400,400,159,163,172,173,176,400,400,400,191,166,182,177,171,400,400,400,171,169,194,178,172,400,400,400,169,176,400,194,176,400,400,400,174,400,400,400,180,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
400,174,140,140,157,157,164,169,400,175,154,164,169,172,177,400,400,156,155,168,169,172,400,400,152,152,166,177,165,170,400,400,151,171,187,177,165,182,400,400,400,400,400,168,167,400,400,400,400,400,400,169,181,400,400,400,400,400,400,400,400,400,400,400
